COD,NOME,�REA,CC,DATA,HORA
000000003,,,8103,29/01/2025,11:57
000000003,,,8103,30/01/2025,11:57
000000003,,,8103,31/01/2025,11:57
000000014,,,8103,29/01/2025,11:57
000000014,,,8103,30/01/2025,11:57
000000014,,,8103,31/01/2025,11:57
000000053,,,8103,31/01/2025,11:57
000000027,,,8106,29/01/2025,11:57
000000047,,,8103,29/01/2025,11:57
000000048,,,8103,30/01/2025,11:57
000000048,,,8103,31/01/2025,11:57
000000072,,,8114,30/01/2025,11:57
000000088,,,8103,30/01/2025,11:57
000000089,,,8103,31/01/2025,11:57
000000170,,,8115,30/01/2025,11:58
000000024,,,8115,29/01/2025,11:58
000000054,,,8103,30/01/2025,11:58
000000143,,,8121,31/01/2025,11:58
000000136,,,8103,30/01/2025,11:58
000000136,,,8103,31/01/2025,11:58
000000040,,,8103,31/01/2025,11:58
000000124,,,6521,31/01/2025,11:59
000000124,,,6521,31/01/2025,11:59
000000170,,,8115,29/01/2025,12:00
000000050,,,8121,31/01/2025,12:00
000000139,,,8110,29/01/2025,12:00
000000159,,,8103,30/01/2025,12:00
000000013,,,8110,29/01/2025,12:00
000000139,,,6510,29/01/2025,12:00
000000092,,,8103,29/01/2025,12:01
000000092,,,8103,30/01/2025,12:01
000000040,,,8103,29/01/2025,12:01
000000040,,,8103,30/01/2025,12:01
000000078,,,6510,29/01/2025,12:01
000000036,,,8103,30/01/2025,12:02
000000189,,,8114,30/01/2025,12:02
000000107,,,8106,30/01/2025,12:03
000000067,,,8115,30/01/2025,12:03
000000102,,,8110,29/01/2025,12:03
000000140,,,8110,30/01/2025,12:03
000000159,,,8103,31/01/2025,12:03
000000052,,,6510,30/01/2025,12:03
000000075,,,6910,29/01/2025,12:03
000000154,,,8103,29/01/2025,12:04
000000166,,,8106,29/01/2025,12:04
000000108,,,8106,29/01/2025,12:04
000000022,,,8106,29/01/2025,12:04
000000111,,,8106,29/01/2025,12:04
000000025,,,8115,31/01/2025,12:04
000000061,,,8111,31/01/2025,12:04
000000145,,,8115,31/01/2025,12:04
000000193,,,8121,29/01/2025,12:04
000000021,,,8106,29/01/2025,12:04
000000068,,,8115,31/01/2025,12:04
000000035,,,8106,29/01/2025,12:04
000000063,,,6910,30/01/2025,12:04
000000154,,,8111,30/01/2025,12:05
000000007,,,8121,31/01/2025,12:05
000000093,,,8103,31/01/2025,12:05
000000079,,,8110,30/01/2025,12:05
000000036,,,8106,31/01/2025,12:05
000000109,,,6914,31/01/2025,12:05
000000161,,,8114,30/01/2025,12:06
000000037,,,8103,29/01/2025,12:06
000000108,,,8106,31/01/2025,12:06
000000023,,,8106,31/01/2025,12:06
000000163,,,8111,30/01/2025,12:06
000000160,,,8103,29/01/2025,12:06
000000012,,,8110,30/01/2025,12:06
000000022,,,8106,31/01/2025,12:06
000000069,,,8114,30/01/2025,12:06
000000079,,,8110,31/01/2025,12:06
000000109,,,6914,29/01/2025,12:06
000000078,,,6510,30/01/2025,12:06
000000099,,,8115,29/01/2025,12:07
000000166,,,8106,31/01/2025,12:07
000000110,,,8515,31/01/2025,12:07
000000111,,,8106,31/01/2025,12:07
000000055,,,6515,31/01/2025,12:07
000000094,,,8103,30/01/2025,12:08
000000164,,,8115,30/01/2025,12:08
000000116,,,6515,31/01/2025,12:08
000000110,,,6914,30/01/2025,12:08
000000045,,,8115,29/01/2025,12:09
000000010,,,8115,29/01/2025,12:09
000000061,,,8111,30/01/2025,12:09
000000145,,,8115,30/01/2025,12:09
000000068,,,8115,30/01/2025,12:09
000000150,,,8103,29/01/2025,12:10
000000106,,,8103,29/01/2025,12:10
000000120,,,8103,29/01/2025,12:11
000000066,,,8114,31/01/2025,12:11
000000107,,,8103,30/01/2025,12:12
000000120,,,8103,29/01/2025,12:12
000000191,,,8103,29/01/2025,12:12
000000005,,,8103,29/01/2025,12:12
000000151,,,8103,30/01/2025,12:12
000000192,,,8114,30/01/2025,12:13
000000149,,,8115,29/01/2025,12:13
000000050,,,8121,29/01/2025,12:13
000000174,,,8114,30/01/2025,12:13
000000056,,,6914,30/01/2025,12:13
000000099,,,8115,31/01/2025,12:14
000000007,,,8121,30/01/2025,12:14
000000008,,,8515,30/01/2025,12:14
000000125,,,8115,30/01/2025,12:14
000000155,,,8114,30/01/2025,12:14
000000120,,,8103,30/01/2025,12:15
000000005,,,8103,30/01/2025,12:15
000000155,,,8111,31/01/2025,12:16
000000191,,,8103,30/01/2025,12:16
000000118,,,8111,30/01/2025,12:16
000000125,,,8115,29/01/2025,12:16
000000064,,,6910,31/01/2025,12:16
000000104,,,8115,30/01/2025,12:17
000000046,,,8115,30/01/2025,12:17
000000157,,,8114,29/01/2025,12:17
000000138,,,8121,31/01/2025,12:17
000000107,,,8103,31/01/2025,12:18
000000190,,,8121,31/01/2025,12:18
000000094,,,8103,29/01/2025,12:18
000000149,,,8115,30/01/2025,12:18
000000066,,,8114,30/01/2025,12:18
000000061,,,8111,29/01/2025,12:18
000000080,,,8110,29/01/2025,12:18
000000069,,,8115,29/01/2025,12:18
000000022,,,8115,29/01/2025,12:19
000000012,,,8110,29/01/2025,12:19
000000174,,,8114,31/01/2025,12:19
000000156,,,8114,31/01/2025,12:19
000000046,,,8115,29/01/2025,12:19
000000010,,,8115,31/01/2025,12:20
000000114,,,8121,30/01/2025,12:20
000000165,,,6910,29/01/2025,12:20
000000137,,,8103,29/01/2025,12:21
000000187,,,6915,29/01/2025,12:21
000000011,,,6515,31/01/2025,12:22
000000130,,,8115,31/01/2025,12:23
000000161,,,8114,29/01/2025,12:23
000000190,,,8114,29/01/2025,12:23
000000032,,,8114,30/01/2025,12:24
000000067,,,8114,29/01/2025,12:24
